[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
1.920186	8.490806e-005	21.00002	0.328504	0.00016303926809916
1.940147	8.783639e-005	21.00004	0.328507	0.00017041550854933
1.960154	9.12634e-005	21.00003	0.328493	0.0001788903185636
1.980166	9.47774e-005	21.00004	0.328493	0.0001876749850484
2.000133	9.873405e-005	21	0.328483	0.00019748123162865
2.020144	0.000103	21.00002	0.328475	0.000208074832
2.039931	0.000107	21.00003	0.328471	0.000218272617
2.059854	0.000112	21.00003	0.328463	0.000230703648
2.079841	0.000116	21.00005	0.328468	0.000241261556
2.099819	0.000121	21.00004	0.328462	0.000254078099
2.119812	0.000127	21.00003	0.328445	0.000269216124
2.139797	0.000132	21.00001	0.328456	0.000282453204
2.159771	0.000138	21.00004	0.32844	0.000298048398
2.179765	0.000144	21.00005	0.328433	0.00031388616
2.199764	0.00015	21.00003	0.328435	0.0003299646
2.219758	0.000156	21.00002	0.328418	0.000346282248
2.239766	0.000163	21.00004	0.328416	0.000365081858
2.259735	0.00017	21.00005	0.328416	0.00038415495
2.279751	0.000177	21.00003	0.328403	0.000403515927
2.299734	0.000184	21	0.3284	0.000423151056
2.319724	0.000191	21.00001	0.328398	0.000443067284
2.339703	0.000198	21.00004	0.328397	0.000463261194
2.359699	0.000206	21.00002	0.328407	0.000486097994
2.379678	0.000213	21.00004	0.328392	0.000506871414
2.399641	0.000221	21.00005	0.328372	0.000530320661
2.41965	0.000229	21.00001	0.328379	0.00055409985
2.439633	0.000238	21.00002	0.328376	0.000580632654
2.459635	0.000247	21.00002	0.328363	0.000607529845
2.479623	0.000255	21.00004	0.328348	0.000632303865
2.499596	0.000263	21.00001	0.328346	0.000657393748
2.519595	0.000273	21.00003	0.328354	0.000687849435
2.53959	0.000282	21.00003	0.328343	0.00071616438
2.559579	0.000292	21.00003	0.328333	0.000747397068
2.579561	0.000302	21.00003	0.328344	0.000779027422
2.599561	0.000311	21.00003	0.32834	0.000808463471
2.619542	0.000321	21.00001	0.328328	0.000840872982
2.639546	0.000332	21.00001	0.328322	0.000876329272
2.65952	0.000343	21.00003	0.328323	0.00091221536
2.679512	0.000355	21.00003	0.328308	0.00095122676
2.699504	0.000367	21.00003	0.328292	0.000990717968
2.7195	0.000381	21.00002	0.328308	0.0010361295
2.739489	0.000395	21.00002	0.328285	0.001082098155
2.7595	0.000411	21.00001	0.328295	0.0011341545
2.779531	0.000428	21.00006	0.328285	0.001189639268
2.799535	0.000447	21.00004	0.328287	0.001251392145
2.819583	0.000468	21.00002	0.328296	0.001319564844
2.839587	0.000491	21.00002	0.32828	0.001394237217
2.85963	0.000517	21	0.328279	0.00147842871
2.879634	0.000546	21.00001	0.328265	0.001572280164
2.89967	0.000579	21.00003	0.328258	0.00167890893
2.919688	0.000614	21.00001	0.328253	0.001792688432
2.939728	0.000653	20.99999	0.328245	0.001919642384
2.959751	0.000696	21.00001	0.328252	0.002059986696
2.979772	0.000744	21.00003	0.328247	0.002216950368
2.999812	0.000797	21.00001	0.328244	0.002390850164
3.019827	0.000854	21.00002	0.328228	0.002578932258
3.039866	0.000917	21.00002	0.328237	0.002787557122
3.059885	0.000986	21.00003	0.328226	0.00301704661
3.079736	0.001061	21.00001	0.328215	0.003267599896
3.099762	0.001142	21.00002	0.328197	0.003539928204
3.119766	0.001231	21.00002	0.328182	0.003840431946
3.139783	0.001328	21.00004	0.328195	0.004169631824
3.159823	0.001433	21	0.328193	0.004528026359
3.179821	0.001546	21.00001	0.328177	0.004916003266
3.19984	0.00167	21	0.328174	0.0053437328
3.219835	0.001802	21.00001	0.328176	0.00580214267
3.239872	0.001945	21.00002	0.328159	0.00630155104
3.259888	0.0021	21.00003	0.328165	0.0068457648
3.279898	0.002265	21.00001	0.328145	0.00742896897
3.299952	0.002444	21.00002	0.328149	0.008065082688
3.31997	0.002635	21.00003	0.328136	0.00874812095
3.339988	0.002839	21	0.328132	0.009482225932
3.359993	0.003057	21.00001	0.328124	0.010271498601
3.380011	0.00329	21.00002	0.328119	0.01112023619
3.400038	0.003539	21.00002	0.328121	0.012032734482
3.420063	0.003802	21.00001	0.32812	0.013003079526
3.440081	0.004082	20.99999	0.328105	0.014042410642
3.460091	0.004378	21.00002	0.328109	0.015148278398
3.480046	0.004692	21.00001	0.328101	0.016328375832
3.500067	0.005023	21.00001	0.328106	0.017580836541
3.520109	0.005374	21.00001	0.328093	0.018917065766
3.540118	0.005742	20.99999	0.328098	0.020327357556
3.56015	0.006129	21	0.328093	0.02182015935
3.580178	0.006536	21	0.328082	0.023400043408
3.600204	0.006962	21	0.328077	0.025064620248
3.620227	0.007407	21.00002	0.328078	0.026815021389
3.640246	0.007873	20.99998	0.328056	0.028659656758
3.660286	0.00836	21.00002	0.328049	0.03059999096
3.680309	0.008865	21	0.328041	0.032625939285
3.700361	0.009393	21.00002	0.328054	0.034757490873

