[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Current_2 (1)	logcurrent	opticalpower	wallplug
-0.651827	0.000564	2.238332e-007	-7.4804563064662	1.5123864864865e-006	-0.0041138773379403
2.46102	0.001227	0.000129	-6.7031831132534	0.00087162162162162	0.28864782479674
2.497107	0.002399	0.000349	-6.0327032951246	0.0023581081081081	0.39363736094034
2.518946	0.003384	0.000592	-5.6886968372382	0.004	0.46925702136001
2.53574	0.00439	0.000854	-5.4284260518951	0.0057702702702703	0.51835454827717
2.549225	0.005382	0.001119	-5.2246952266774	0.0075608108108108	0.5510823589805
2.561075	0.006391	0.001393	-5.052864528314	0.0094121621621622	0.57504030621494
2.571341	0.007376	0.001665	-4.9095237927278	0.01125	0.59316011362931
2.580757	0.008368	0.00194	-4.7833403716596	0.013108108108108	0.60697559432184
2.589495	0.009377	0.002222	-4.6694953965446	0.015013513513514	0.61830583703326
2.597538	0.010371	0.0025	-4.5687418293745	0.016891891891892	0.62704072653898
2.605042	0.011359	0.002778	-4.4777448977329	0.01877027027027	0.63433065057774
2.61224	0.012363	0.003062	-4.3930471379573	0.020689189189189	0.6406288996736
2.619059	0.013363	0.003344	-4.3152655851832	0.022594594594595	0.64558778259643
2.625566	0.014376	0.003628	-4.2421951295009	0.024513513513514	0.64944826224931
2.631775	0.015374	0.00391	-4.1750775080552	0.026418918918919	0.65294922110774
2.637722	0.016366	0.004192	-4.1125492668769	0.028324324324324	0.65612712169194
2.643557	0.017378	0.004479	-4.0525502405651	0.030263513513514	0.65876554297404
2.64905	0.018369	0.004759	-3.9970908178182	0.032155405405405	0.66081260673674
2.654474	0.01938	0.005046	-3.9435136725195	0.034094594594595	0.66275541103248
2.659653	0.020374	0.005328	-3.8934957008143	0.036	0.66435654858122
2.664688	0.021368	0.00561	-3.8458608031745	0.037905405405405	0.66571892726971
2.669643	0.022376	0.005897	-3.7997663230825	0.039844594594595	0.66701218873326
2.674398	0.02337	0.00618	-3.7563021304314	0.041756756756757	0.66810082570221
2.679008	0.024364	0.006459	-3.7146486460079	0.043641891891892	0.66862247038108
2.68363	0.025377	0.006748	-3.6739120269921	0.045594594594595	0.66949978315253
