[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Current_2 (1)	logcurrent	opticalpower	wallplug
-0.505175	0.000554	5.642362e-008	-7.498345871217	1.6498134502924e-007	-0.00058949920678108
1.711222	0.000554	4.065434e-005	-7.498345871217	0.00011887233918129	0.12539051587258
1.77237	0.00255	0.000102	-5.9716619198118	0.00029824561403509	0.065990207647097
1.78783	0.003535	0.000174	-5.6450419796336	0.00050877192982456	0.080502154484921
1.799252	0.004546	0.000253	-5.3935075535518	0.00073976608187135	0.090442589770878
1.808057	0.005533	0.000335	-5.1970251150662	0.00097953216374269	0.097914252562641
1.815568	0.006537	0.000423	-5.0302769343515	0.0012368421052632	0.10421332601043
1.821945	0.007533	0.000512	-4.8884619101386	0.0014970760233918	0.10907886866782
1.827554	0.008521	0.000603	-4.7652215741363	0.0017631578947368	0.1132218958195
1.8327	0.009527	0.000699	-4.6536254062575	0.0020438596491228	0.11705865360984
1.837353	0.010522	0.000795	-4.5542869756735	0.0023245614035088	0.12024031970847
1.841626	0.011511	0.000893	-4.4644521790492	0.0026111111111111	0.12317167892518
1.845659	0.012522	0.000993	-4.380268181659	0.0029035087719298	0.12563133599862
1.849398	0.013517	0.001093	-4.3038071264804	0.0031959064327485	0.12784488547944
1.852922	0.014527	0.001197	-4.2317462920914	0.0035	0.13002742738295
1.856262	0.015523	0.0013	-4.1654324839378	0.0038011695906433	0.13191747031038
1.85943	0.016518	0.001403	-4.1033045835936	0.0041023391812865	0.13356549242224
1.862516	0.017527	0.00151	-4.0440127298911	0.0044152046783626	0.13525185876328
1.865402	0.018519	0.001615	-3.9889580469023	0.0047222222222222	0.1366962028412
1.868226	0.019526	0.001722	-3.9360083681787	0.0050350877192982	0.13802709391509
1.870915	0.020524	0.001829	-3.8861603459024	0.0053479532163743	0.13927447706723
1.87353	0.021517	0.001937	-3.8389119586108	0.0056637426900585	0.14049508880265
1.87609	0.022526	0.002048	-3.7930850813566	0.0059883040935673	0.14169877570451
1.878516	0.02352	0.002156	-3.7499041559517	0.0063040935672515	0.14268240945716
1.880888	0.024513	0.002265	-3.7085516899115	0.0066228070175439	0.14364241542147
1.883232	0.025526	0.002377	-3.6680577384216	0.0069502923976608	0.14458275158804
1.88547	0.026518	0.002487	-3.6299315312896	0.0072719298245614	0.14544181523495
1.887697	0.027528	0.0026	-3.592551610487	0.0076023391812865	0.14629864261326
1.889844	0.02852	0.002711	-3.557149683436	0.0079269005847953	0.14707130098366
1.891941	0.02951	0.002823	-3.5230260900273	0.0082543859649123	0.14784545349147
1.894022	0.030524	0.002937	-3.4892420195548	0.0085877192982456	0.14854272144482
1.896025	0.031515	0.003049	-3.4572916560171	0.0089152046783626	0.14920038624545
1.898042	0.032526	0.003164	-3.4257155094759	0.0092514619883041	0.14985591605075
1.899966	0.033516	0.003277	-3.3957323422311	0.0095818713450292	0.15047083267636
1.901866	0.03451	0.00339	-3.3665061418722	0.0099122807017544	0.15102495615346
1.903758	0.035516	0.003505	-3.3377719798121	0.010248538011696	0.15157449416619
1.90559	0.036508	0.003619	-3.3102238643275	0.010581871345029	0.15210551823476
1.907398	0.037504	0.003733	-3.2833076850276	0.010915204678363	0.1525853966369
1.909214	0.038517	0.003849	-3.2566555767051	0.011254385964912	0.15304344783984
1.910957	0.039508	0.003964	-3.2312520959363	0.011590643274854	0.15352233949795
1.912719	0.04052	0.004081	-3.2059595996017	0.011932748538012	0.15396424620801
1.914433	0.041513	0.004195	-3.1817486477869	0.012266081871345	0.1543410917056
1.916116	0.042505	0.004311	-3.1581335629128	0.012605263157895	0.15477118185286
1.917811	0.043518	0.004428	-3.1345806333728	0.012947368421053	0.15513392229486
1.919442	0.044511	0.004544	-3.1120189293454	0.013286549707602	0.1555141359446
1.921087	0.045518	0.004662	-3.0896474268604	0.013631578947368	0.15588917493814
1.92269	0.046513	0.004779	-3.0680234355687	0.013973684210526	0.15625261897578
1.924273	0.047508	0.004895	-3.0468571610701	0.014312865497076	0.15656444978253
1.92586	0.048518	0.005013	-3.0258204158713	0.014657894736842	0.15687148054323
1.927412	0.049509	0.00513	-3.0056008077526	0.015	0.1571927624334
1.928948	0.050504	0.005246	-2.9857027379168	0.01533918128655	0.15745479240161
1.930484	0.051512	0.005365	-2.9659404887463	0.015687134502924	0.15774986696122
1.931986	0.052504	0.005481	-2.9468659218107	0.016026315789474	0.15799281232953
1.933489	0.053514	0.0056	-2.92781197707	0.016374269005848	0.1582533094887
1.934956	0.05451	0.005717	-2.9093711079059	0.016716374269006	0.15848742536003
1.936418	0.055505	0.005834	-2.8912821721975	0.017058479532164	0.1587117574695
1.937884	0.05651	0.005954	-2.8733376653404	0.017409356725146	0.15897529514436
1.939318	0.057507	0.006071	-2.855848599458	0.017751461988304	0.1591711618191
1.94076	0.058516	0.00619	-2.8384550578663	0.018099415204678	0.15937422251201
1.942172	0.05951	0.006309	-2.8216109133254	0.018447368421053	0.15960878162265
1.943568	0.060504	0.006426	-2.8050458004284	0.018789473684211	0.15978307976788
1.944984	0.061522	0.006546	-2.7883604445603	0.019140350877193	0.15995706120423
