[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	logcurrent
9.093581	-3.152395e-009	3.791674	2.280083e-010	-1.#IND
9.191132	-3.147431e-009	3.833758	3.44306e-010	-1.#IND
9.290191	1.286691e-009	3.875631	-1.664203e-010	-20.4711920304
9.392738	2.62804e-009	3.916711	-3.130591e-010	-19.75702751574
9.491945	-2.54504e-009	3.958374	2.330717e-010	-1.#IND
9.591306	-2.236281e-009	4.000299	2.634073e-010	-1.#IND
9.690354	1.38792e-009	4.041047	-2.017939e-010	-20.39545961341
9.796885	2.531849e-009	4.083293	-1.815807e-010	-19.794315971094
9.893527	5.072652e-010	4.12504	1.72387e-010	-21.401987172171
9.988117	-1.638923e-009	4.16638	2.886853e-010	-1.#IND
10.09254	2.997459e-009	4.2087	-9.654597e-012	-19.625500907185
10.19486	4.12616e-009	4.250347	-1.917048e-010	-19.305918644571
10.2922	3.852874e-009	4.291724	-2.119323e-010	-19.374446473628
10.38963	4.080709e-009	4.333435	-5.010901e-011	-19.316995089118
10.48941	2.055978e-009	4.375282	1.117088e-010	-20.0025141898
10.5919	4.207108e-009	4.417229	2.229511e-010	-19.286490361168
10.68595	9.759306e-009	4.459651	-6.52778e-011	-18.445044545607
10.78624	9.744121e-009	4.500181	8.642544e-011	-18.446601708158
10.89093	9.395198e-009	4.541832	1.066518e-010	-18.483067129263
10.99317	1.409214e-008	4.584018	1.56294e-011	-18.077648641802
11.0928	2.022727e-008	4.625202	-1.563089e-010	-17.71623414297
11.18648	2.434623e-008	4.665936	-1.208917e-010	-17.530888824867
11.28153	2.523662e-008	4.70922	2.532904e-010	-17.494969722662
11.39029	3.246517e-008	4.751342	1.875573e-010	-17.243098014591
11.49114	4.562208e-008	4.791893	-1.815781e-010	-16.902874027092
11.59144	5.618582e-008	4.834054	-1.310157e-010	-16.69460142505
11.69136	6.420652e-008	4.875779	2.077803e-010	-16.561161073775
11.7947	8.468038e-008	4.917228	1.319358e-010	-16.284381903208
11.88134	1.100089e-007	4.958889	-1.562995e-010	-16.022704565336
11.99095	1.373928e-007	5.000124	-2.018076e-010	-15.800421860278
12.08516	1.635755e-007	5.04237	3.746503e-010	-15.625991179493
12.19202	2.091669e-007	5.083987	2.280075e-010	-15.380133339071
12.28918	2.731383e-007	5.125606	-4.647619e-010	-15.11328757663
12.38644	3.420211e-007	5.166797	-3.787886e-010	-14.88839340588
12.48927	4.209392e-007	5.209411	4.100417e-010	-14.680777431746
12.59068	5.40994e-007	5.250238	2.381211e-010	-14.429857648734
12.69432	6.945332e-007	5.292034	-2.018049e-010	-14.180025871719
12.79412	8.809189e-007	5.334044	-1.613586e-010	-13.942300269731
12.88964	1.112906e-006	5.375868	4.201569e-010	-13.708535945662
12.99004	1.435615e-006	5.41775	2.482357e-010	-13.453917229135
13.09236	1.850436e-006	5.459139	5.415065e-010	-13.200089270966
13.19073	2.390663e-006	5.50104	6.982783e-010	-12.943939824633
13.2834	3.127606e-006	5.54234	6.274696e-010	-12.675242702294
13.39122	4.169668e-006	5.584267	4.252134e-010	-12.38767414163
13.49455	5.553047e-006	5.625754	6.0724e-010	-12.101163771847
13.59068	7.513707e-006	5.66713	7.488198e-010	-11.798781605451
13.68783	1.034964e-005	5.708607	-5.203862e-010	-11.478558821467
13.79532	1.457214e-005	5.750581	1.976707e-010	-11.136399071398
13.8928	2.082143e-005	5.792307	5.162336e-010	-10.779527813178
13.99321	3.025041e-005	5.834359	8.246551e-010	-10.40600081986
14.09036	4.445552e-005	5.875876	4.858887e-010	-10.021021419238
14.1938	6.676242e-005	5.916901	5.516194e-010	-9.6143702105766
14.29366	9.899258e-005	5.95883	6.932037e-010	-9.2204656601335
14.3882	0.000145	6.000206	6.830908e-010	-8.8387768155437
14.4825	0.000213	6.041683	5.617356e-010	-8.4542183922548
14.58778	0.000316	6.083822	3.089083e-010	-8.0597683443774
14.691	0.000458	6.125498	6.0724e-010	-7.6886413738501
14.79124	0.000656	6.167223	5.870325e-010	-7.3293497690202
14.89022	0.000923	6.209109	-2.068699e-010	-6.9878813234614
14.99265	0.001278	6.249777	-2.068588e-010	-6.6624589230268
15.09242	0.00171	6.292316	2.836336e-010	-6.3712619084676
15.1945	0.002224	6.333337	-6.619691e-010	-6.1084479025938
15.28178	0.002818	6.374914	-5.507213e-010	-5.8717278655056
15.39193	0.003511	6.41644	-3.990153e-010	-5.6518543817958
15.48829	0.004251	6.458627	-6.366917e-010	-5.4606010296055
15.5896	0.005045	6.500002	-6.569188e-010	-5.2893576251766
15.68724	0.005891	6.541836	2.128396e-010	-5.1343295164426
15.79728	0.00681	6.58351	6.325181e-010	-4.9893631588207
15.89365	0.00775	6.625141	-2.675482e-010	-4.8600624356169
15.9899	0.008713	6.666766	-5.507213e-010	-4.742939115733
16.09095	0.009718	6.708601	3.898138e-010	-4.6337754429984
16.19111	0.010749	6.750069	2.987956e-010	-4.5329425519912
16.28559	0.011808	6.792519	-6.61982e-010	-4.438978011124
16.38879	0.012884	6.83384	-2.169806e-010	-4.3517690475132
16.4953	0.013988	6.875509	6.375704e-010	-4.269555459781
16.59397	0.015146	6.917148	4.55573e-010	-4.1900188082905
16.69399	0.016289	6.959303	-5.760336e-010	-4.1172652456067
16.79172	0.017447	7.0006	-7.428766e-010	-4.0485875648844
16.88749	0.018619	7.041413	3.79697e-010	-3.9835727142682
16.98867	0.019844	7.084473	5.718731e-010	-3.9198535845433
17.09099	0.021046	7.125289	-1.613562e-010	-3.8610447606635
17.18566	0.022258	7.165408	-3.78772e-010	-3.8050537844309
17.28753	0.023489	7.208488	-1.310135e-010	-3.7512230525244
17.39142	0.024766	7.250066	2.128384e-010	-3.6982835341892
17.48885	0.026013	7.292443	5.061235e-010	-3.649158865919
17.58452	0.02727	7.334065	1.875581e-010	-3.6019680821246
17.68986	0.02855	7.375001	-5.810616e-010	-3.5560983428801
17.79291	0.029866	7.41668	-2.321479e-010	-3.5110345693471
17.89436	0.031151	7.459187	6.274696e-010	-3.4689089315352
17.98814	0.032453	7.500806	6.931992e-010	-3.4279623901823
18.09133	0.033762	7.540664	-6.568868e-010	-3.3884193693029
18.19423	0.03512	7.58315	-6.973392e-010	-3.3489845102152
18.29119	0.036439	7.626128	3.392545e-010	-3.3121156493379
18.38976	0.037773	7.666955	7.437585e-010	-3.2761607172945
18.4905	0.039113	7.709488	-3.788094e-010	-3.2413003864319
18.59515	0.040502	7.750779	-5.658971e-010	-3.2064039233729
18.6873	0.041846	7.791889	3.948681e-010	-3.1737590660651
18.78921	0.04321	7.834403	6.830908e-010	-3.1416833290383
18.8885	0.044577	7.87531	-1.562995e-010	-3.1105372480398
18.99137	0.045992	7.917559	-5.557891e-010	-3.0792878106611
19.09066	0.047368	7.958807	2.836277e-010	-3.0498083837527
19.19009	0.048754	8.001424	4.858887e-010	-3.0209680336223
19.28353	0.050139	8.041998	2.128378e-010	-2.9929561306072
19.39099	0.051583	8.08411	-3.636267e-010	-2.964563118142
19.48778	0.052981	8.126027	-1.006732e-010	-2.9378219202692
19.59127	0.054372	8.167235	3.746407e-010	-2.9119059635091
19.68853	0.055787	8.209517	1.926137e-010	-2.8862144116481
19.78866	0.057249	8.250323	-3.079915e-010	-2.8603451039493
19.88912	0.058675	8.292135	-1.259568e-010	-2.835741537245
19.98808	0.060085	8.334656	3.746465e-010	-2.8119950526189
20.08869	0.061542	8.374851	2.229477e-010	-2.7880354104288
20.18781	0.063015	8.417272	-3.787928e-010	-2.7643824856927
20.28592	0.064456	8.459052	-1.360702e-010	-2.7417724585072
20.39059	0.065904	8.501067	3.64528e-010	-2.7195561412884
20.49275	0.067362	8.542175	2.229518e-010	-2.6976742182774
20.59	0.068856	8.583577	-4.141765e-010	-2.675737911635
20.69013	0.070329	8.626159	-1.462065e-010	-2.6545710474466
20.78536	0.071772	8.667042	3.847554e-010	-2.6342608511317
20.89527	0.07326	8.709054	-6.527454e-011	-2.6137405216315
20.98375	0.074773	8.750438	-2.422675e-010	-2.5932984217312
21.09587	0.07625	8.792645	-2.372288e-010	-2.5737378634946
21.19025	0.077721	8.834202	3.999288e-010	-2.5546297878547
21.29022	0.079218	8.875132	7.6312e-011	-2.535551733257
21.38914	0.080747	8.916709	-4.091331e-010	-2.5164344692723
21.493	0.082243	8.958373	1.167662e-010	-2.4980769993414
21.59025	0.083743	9.000891	3.999309e-010	-2.4800026938597
21.6902	0.085242	9.042121	2.027261e-010	-2.4622610088641
21.7949	0.0868	9.083699	-3.080023e-010	-2.4441486573158
21.88858	0.088299	9.125379	-1.765265e-010	-2.4270264964647
21.98655	0.089815	9.165722	3.493573e-010	-2.4100032797613
22.08834	0.091326	9.209013	3.493641e-010	-2.3933197564566
22.19185	0.092898	9.250239	-1.967509e-010	-2.3762531619194
22.29435	0.094418	9.291412	-2.827151e-010	-2.3600235460413
22.39244	0.095947	9.333395	3.080151e-011	-2.3439593233018
22.48868	0.097478	9.375149	5.920707e-010	-2.3281285674647
22.591	0.099057	9.416854	-1.613538e-010	-2.3120598369566
22.65161	0.099991	9.458987	-5.709596e-010	-2.3026750970443
22.65013	0.099993	9.500741	-1.20898e-010	-2.3026550954442
22.64994	0.099992	9.542043	6.52752e-010	-2.3026650961942
22.648	0.099996	9.584205	1.218221e-010	-2.3026250937941
22.65059	0.099989	9.625247	-6.164587e-010	-2.3026950990445
22.64921	0.099987	9.666723	-3.484525e-010	-2.3027151014448
22.6481	0.099994	9.708503	4.959958e-010	-2.3026450947941
22.64672	0.099992	9.751047	2.482348e-010	-2.3026650961942
22.64709	0.099996	9.792322	5.617356e-010	-2.3026250937941
22.64654	0.09999	9.834775	7.184719e-010	-2.3026850979944
22.64792	0.099992	9.874676	-1.967428e-010	-2.3026650961942
22.64672	0.099991	9.917259	4.09134e-011	-2.3026750970443
22.64212	0.099988	9.959061	3.898138e-010	-2.3027051001946
22.64553	0.09999	10.00007	-3.029385e-010	-2.3026850979944

